Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces
Catamaran,Technic,404.0,49.99,100.0,74.0
Spider Mech vs. Venom ,Marvel,604.0,49.99,104.0,203.0
Pasaana Speeder Chase,Star Wars,373.0,39.99,116.0,177.0
Enchanted Tree House,LEGO Frozen 2,302.0,49.99,120.0,174.0
Pop Village Celebration,Trolls World Tour,380.0,49.99,120.0,205.0
Haunted Fairground,Hidden Side,466.0,49.99,124.0,212.0
Shrimp Shack Attack,Hidden Side,578.0,49.99,128.0,293.0
Newbury Abandoned Prison,Hidden Side,400.0,39.99,132.0,164.0
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,Speed Champions,481.0,49.99,64.0,187.0
Superman & Krypto Team-Up,DC,199.0,19.99,76.0,110.0
Black Ace TIE Interceptor,Star Wars,396.0,49.99,84.0,161.0
Andrea's Pool Party,Friends,468.0,49.99,112.0,221.0
Garage Centre,City,234.0,49.99,116.0,62.0
AT-ST Raider,Star Wars,540.0,49.99,120.0,211.0
Katana 4X4,NINJAGO,450.0,49.99,128.0,185.0
Batwing and The Riddler Heist,Batman,489.0,49.99,132.0,212.0
Fairground Carousel,Creator 3-in-1,595.0,49.99,236.0,223.0
Stephanie's Soccer Practice,Friends,119.0,14.99,48.0,78.0
Emma's Art Stand,Friends,210.0,19.99,60.0,107.0
Batman and The Joker Escape,Batman,171.0,39.99,72.0,119.0
The Hulkbuster Smash-Up,Marvel,375.0,29.99,84.0,143.0
Imperial Dropship  20th Anniversary Edition,Star Wars,125.0,19.99,60.0,57.0
Raptor Rescue Truck,Juniors,85.0,24.99,56.0,56.0
Frozen Ice Castle,Disney,59.0,49.99,28.0,31.0
Throne Room Showdown,NINJAGO,221.0,19.99,68.0,111.0
Monster Burger Truck,Creator 3-in-1,499.0,49.99,248.0,183.0
WHACK!,Technic,135.0,19.99,123.0,41.0
Service Station,City,354.0,49.99,193.0,179.0
Anna & Olaf,BrickHeadz,201.0,14.99,56.0,78.0
Andrea's Park Performance,Friends,229.0,24.99,80.0,126.0
The Flash,DC,122.0,9.99,40.0,47.0
Harry Potter Advent Calendar,Harry Potter,305.0,39.99,3.0,151.0
Darth Maul,Star Wars,104.0,29.99,52.0,43.0
Olivia's Deluxe Bedroom,Friends,163.0,14.99,60.0,100.0
Cloud-Rider Swoop Bikes,Star Wars,355.0,29.99,92.0,148.0
TIE Fighter Attack,Star Wars,77.0,19.99,40.0,50.0
Brick-built Minions and their Lair,Minions,876.0,49.99,184.0,180.0
Escape Pod vs. Dewback Microfighters,Star Wars,177.0,19.99,64.0,79.0
Destiny's Wing,NINJAGO,181.0,19.99,76.0,100.0
Mickey's Vacation House,Disney,57.0,49.99,28.0,37.0
Fire Station,DUPLO,76.0,49.99,34.0,47.0
Jay's Cyber Dragon,NINJAGO,518.0,49.99,84.0,189.0
Hydro-Man Attack,Marvel,471.0,39.99,96.0,170.0
Power Boat,Technic,174.0,14.99,98.0,56.0
Thunder Raider,NINJAGO,576.0,49.99,148.0,191.0
Police Helicopter Transport,City,317.0,49.99,156.0,161.0
The Lighthouse of Darkness,Hidden Side,540.0,49.99,156.0,240.0
D.Va & Reinhardt,Overwatch,455.0,39.99,108.0,161.0
Pirate Ship,Minecraft,386.0,39.99,116.0,143.0
Shimmer & Shine Sparkle Spa!,THE LEGO MOVIE 2,694.0,69.99,128.0,209.0
Modular Sweet Surprises,Creator 3-in-1,396.0,39.99,184.0,187.0
The Joker Batcave Attack,Batman,151.0,24.99,76.0,94.0
Olivia's Mission Vehicle,Friends,223.0,19.99,84.0,106.0
Modular Winter Vacation,Creator 3-in-1,374.0,34.99,200.0,142.0
Belle's Tea Party,Disney,19.0,19.99,8.0,16.0
Wyld-Mayhem Star Fighter,THE LEGO MOVIE 2,405.0,49.99,132.0,157.0
City Central Airport,Juniors,376.0,49.99,144.0,170.0
Spider-Man vs. Electro,Marvel,29.0,19.99,10.0,22.0
Star Wars Advent Calendar,Star Wars,280.0,39.99,2.0,177.0
Drifting Diner,Friends,345.0,29.99,92.0,182.0
Gentle Giants Petting Zoo,Jurassic World,24.0,19.99,13.0,19.0
San Francisco,Architecture,565.0,49.99,128.0,163.0
Ariel's Castle,Disney,115.0,24.99,56.0,74.0
Paranormal Intercept Bus 3000,Hidden Side,689.0,59.99,136.0,272.0
Porsche 919 Hybrid,Speed Champions,163.0,14.99,60.0,75.0
Mickey's Boat,Disney,28.0,29.99,24.0,25.0
Baryonyx Face-Off: The Treasure Hunt,Jurassic World,434.0,59.99,96.0,211.0
Avengers Hulk Helicopter Rescue,Marvel,482.0,59.99,100.0,187.0
Iron Man Hall of Armour,Marvel,524.0,59.99,104.0,156.0
Hagrid's Hut: Buckbeak's Rescue,Harry Potter,496.0,59.99,120.0,208.0
Lighthouse Rescue Centre,Friends,602.0,59.99,180.0,273.0
Twin-Rotor Helicopter,Creator 3-in-1,569.0,59.99,228.0,200.0
Action Battle Echo Base Defence,Star Wars,504.0,59.99,112.0,192.0
Heartlake City Restaurant,Friends,624.0,59.99,140.0,201.0
Lunar Space Station,City,412.0,59.99,172.0,171.0
Andrea's Accessories Store,Friends,294.0,29.99,84.0,128.0
Triceratops Rampage,Jurassic World,447.0,59.99,112.0,200.0
Heartlake City Hospital,Friends,379.0,49.99,132.0,154.0
Thor's Weapon Quest,Marvel,223.0,19.99,84.0,112.0
Millennium Falcon Microfighter,Star Wars,92.0,9.99,44.0,48.0
Darth Vader,Star Wars,104.0,9.99,40.0,41.0
T. rex Tower,Jurassic World,22.0,29.99,14.0,18.0
Ahch-To Island Training,Star Wars,241.0,29.99,84.0,129.0
Spider-Man's Spider Crawler ,Marvel,418.0,39.99,84.0,132.0
Moloch's Landspeeder,Star Wars,464.0,39.99,144.0,163.0
Underminer's Bank Heist,Juniors,149.0,24.99,64.0,99.0
Friendship Box,Friends,563.0,49.99,172.0,198.0
Paris,Architecture,649.0,49.99,112.0,114.0
Emma's Deluxe Bedroom,Friends,183.0,14.99,68.0,105.0
Rapunzel's Travelling Caravan,Disney,323.0,39.99,108.0,171.0
Belle's Castle Winter Celebration,Disney,238.0,49.99,108.0,146.0
Joker's Trike Chase,Batman,440.0,49.99,108.0,181.0
Stephanie's Lakeside House,Friends,215.0,34.99,112.0,142.0
Gallimimus and Pteranodon Breakout,Jurassic World,391.0,49.99,112.0,170.0
Kai's Blade Cycle & Zane's Snowmobile,NINJAGO,376.0,29.99,128.0,189.0
Lamborghini Urus ST-X & Huracán Super Trofeo EVO ,Speed Champions,663.0,49.99,144.0,202.0
Beach House,Friends,444.0,49.99,160.0,216.0
Deluxe Brick Box,DUPLO,85.0,49.99,28.0,58.0
Las Vegas,Architecture,501.0,39.99,108.0,123.0
Stunt Show Truck & Bike,Technic,610.0,49.99,120.0,109.0
Chevrolet Corvette ZR1,Technic,579.0,49.99,233.0,105.0
Stygimoloch Breakout,Jurassic World,222.0,29.99,84.0,91.0
Ocean's Bottom,Classic,579.0,29.99,57.0,218.0
Police Monster Truck Heist,City,362.0,59.99,200.0,198.0
Death Star Escape,Star Wars,329.0,29.99,84.0,110.0
Mia's Tree House,Friends,351.0,29.99,120.0,151.0
Andrea's Talent Show,Friends,492.0,49.99,124.0,184.0
Steam Train,DUPLO,59.0,59.99,48.0,38.0
Boba Fett,Star Wars,625.0,59.99,116.0,172.0
Fire Plane,City,363.0,59.99,156.0,151.0
Porsche 911 RSR and 911 Turbo 3.0,Speed Champions,391.0,29.99,120.0,166.0
Peter Venkman & Slimer,BrickHeadz,228.0,19.99,77.0,90.0
Harvester Transport,City,358.0,29.99,148.0,166.0
Stormtrooper,Star Wars,647.0,59.99,124.0,155.0
Resistance Y-wing Starfighter,Star Wars,578.0,69.99,76.0,177.0
Stark Jet and the Drone Attack,Spider-Man,504.0,69.99,96.0,176.0
Hogwarts Whomping Willow,Harry Potter,753.0,69.99,148.0,253.0
Major Vonreg's TIE Fighter,Star Wars,496.0,69.99,92.0,151.0
Fire Station,City,509.0,69.99,184.0,210.0
Large Playground Brick Box,DUPLO,71.0,49.99,32.0,49.0
Tokyo,Architecture,547.0,59.99,96.0,146.0
D-O,Star Wars,519.0,69.99,72.0,149.0
Dubai,Architecture,740.0,59.99,112.0,127.0
Emma's Art Studio,Friends,235.0,24.99,60.0,122.0
The Flintstones,Ideas,748.0,59.99,180.0,242.0
Lex Luthor Mech Takedown,DC,406.0,39.99,84.0,159.0
Pop-Up Party Bus,THE LEGO MOVIE 2,1024.0,79.99,172.0,294.0
The Illager Raid,Minecraft,562.0,59.99,96.0,187.0
The Big Race Day,Friends,648.0,59.99,144.0,252.0
Avengers Wrath of Loki,Marvel,223.0,59.99,124.0,137.0
Central Airport,City,286.0,59.99,169.0,168.0
The Great Home Escape,Juniors,178.0,29.99,76.0,123.0
Shanghai,Architecture,597.0,59.99,160.0,144.0
Tropical Island,DUPLO,73.0,59.99,40.0,44.0
Modular Playhouse,DUPLO,129.0,59.99,84.0,56.0
Iron Man,Marvel,480.0,59.99,132.0,123.0
Phantom Fire Truck 3000,Hidden Side,760.0,59.99,148.0,263.0
Central Perk,Ideas,1070.0,59.99,156.0,366.0
Dinosaur Fossils,Ideas,910.0,59.99,169.0,201.0
Batman Mech vs. Poison Ivy Mech ,Batman,375.0,39.99,92.0,173.0
Mobile Stunt Show,Creator 3-in-1,581.0,49.99,224.0,212.0
The Melon Farm,Minecraft,69.0,14.99,44.0,47.0
Mia's House,Friends,715.0,69.99,192.0,274.0
Hermione Granger,BrickHeadz,127.0,9.99,40.0,50.0
Street Race of Snake Jaguar,NINJAGO,308.0,29.99,112.0,130.0
Snoke's Throne Room,Star Wars,492.0,69.99,104.0,166.0
Hogwarts Express,Harry Potter,801.0,79.99,124.0,261.0
Elsa's Ice Palace,LEGO Frozen 2,701.0,79.99,180.0,234.0
Arendelle Castle,LEGO Frozen 2,521.0,79.99,192.0,231.0
Yoda's Hut,Star Wars,229.0,29.99,72.0,139.0
Dirt Road Pursuit,City,297.0,39.99,116.0,140.0
Emmet and Lucy's Escape Buggy!,THE LEGO MOVIE 2,550.0,49.99,124.0,199.0
Cruising Adventures,Creator 3-in-1,597.0,59.99,216.0,246.0
Royal Talon Fighter Attack,Marvel,358.0,29.99,100.0,119.0
Pickup & Caravan,City,344.0,29.99,140.0,188.0
Arctic Air Transport,City,277.0,39.99,112.0,113.0
Bastion,Overwatch,602.0,49.99,116.0,168.0
Aladdin's and Jasmine's Palace Adventures,Disney,193.0,29.99,76.0,114.0
The Polar Igloo,Minecraft,278.0,29.99,84.0,95.0
Watchpoint: Gibraltar,Overwatch,730.0,89.99,192.0,287.0
Unikingdom Creative Brick Box,Unikitty,433.0,39.99,172.0,220.0
Blue's Helicopter Pursuit,Jurassic World,397.0,39.99,112.0,177.0
Stephanie's Sports Arena,Friends,460.0,44.99,108.0,188.0
Ducati Panigale V4 R,Technic,646.0,69.99,128.0,128.0
Heavy Cargo Transport,City,310.0,29.99,128.0,161.0
Heartlake City Airplane,Friends,574.0,69.99,164.0,238.0
4 Privet Drive,Harry Potter,797.0,69.99,184.0,255.0
Friendship Bus,Friends,778.0,69.99,236.0,286.0
Caravan Family Holiday,Creator 3-in-1,766.0,69.99,276.0,328.0
People Pack - Outdoor Adventures,City,164.0,39.99,64.0,128.0
Tactical Batman & Superman,BrickHeadz,209.0,19.99,69.0,72.0
Mining Heavy Driller,City,294.0,49.99,124.0,139.0
International Space Station,Ideas,864.0,69.99,128.0,186.0
Knights of Ren Transport Ship,Star Wars,595.0,69.99,136.0,182.0
The Crafting Box 3.0,Minecraft,564.0,69.99,180.0,128.0
The Nether Portal,Minecraft,470.0,39.99,112.0,146.0
T. Rex Breakout,Juniors,150.0,49.99,76.0,98.0
Empire Temple of Madness,NINJAGO,810.0,79.99,160.0,267.0
Lloyd's Titan Mech,NINJAGO,876.0,79.99,164.0,230.0
Monastery of Spinjitzu,NINJAGO,1070.0,79.99,188.0,359.0
Mos Eisley Cantina,Star Wars,376.0,39.99,80.0,140.0
S.O.G. Headquarters,NINJAGO,530.0,39.99,96.0,246.0
First Order AT-ST,Star Wars,370.0,39.99,80.0,157.0
Townhouse Pet Shop & Café,Creator 3-in-1,969.0,79.99,356.0,289.0
Arctic Scout Truck,City,322.0,59.99,100.0,148.0
Spider-Man & Hulk Adventures,DUPLO,38.0,29.99,20.0,29.0
General Grievous' Combat Speeder,Star Wars,157.0,29.99,60.0,76.0
Sunshine Surfer Van,Creator 3-in-1,379.0,34.99,184.0,160.0
The Nether Fight,Minecraft,84.0,14.99,40.0,48.0
Racing Yacht,Technic,330.0,39.99,156.0,83.0
Trafalgar Square,Architecture,1197.0,79.99,192.0,205.0
The Ultra Dragon,NINJAGO,951.0,84.99,160.0,262.0
Ariel & Ursula,BrickHeadz,361.0,19.99,121.0,121.0
Darth Vader,Star Wars,168.0,39.99,56.0,61.0
TRON: Legacy,Ideas,230.0,34.99,68.0,73.0
Clone Scout Walker  20th Anniversary Edition,Star Wars,250.0,29.99,80.0,109.0
General Grievous's Starfighter,Star Wars,487.0,79.99,96.0,139.0
Sith TIE Fighter,Star Wars,470.0,79.99,104.0,127.0
Venomosaurus Ambush,Marvel,640.0,79.99,148.0,242.0
The Creeper Mine,Minecraft,834.0,79.99,164.0,206.0
Ocean Exploration Base,City,497.0,79.99,165.0,180.0
Jungle Rescue Base,Friends,648.0,79.99,176.0,251.0
Avengers Ultimate Quinjet,Marvel,840.0,79.99,160.0,252.0
Avengers Compound Battle,Marvel,699.0,99.99,168.0,292.0
Party Boat,Friends,640.0,79.99,184.0,270.0
Remote-Controlled Stunt Racer,Technic,324.0,99.99,72.0,78.0
Rescue Mission Boat,Friends,908.0,89.99,216.0,376.0
Donut Shop Opening,City,790.0,89.99,320.0,368.0
Great Wall of China,Architecture,551.0,49.99,112.0,81.0
Ariel's Royal Celebration Boat,Disney,380.0,49.99,108.0,156.0
Mountain Arrest,City,303.0,59.99,136.0,168.0
Modular Skate House,Creator 3-in-1,422.0,39.99,196.0,169.0
Harry Potter & Hedwig,BrickHeadz,180.0,14.99,60.0,73.0
Farm Pony Stable,DUPLO,59.0,29.99,25.0,31.0
First Responder,Technic,513.0,49.99,212.0,106.0
Air Base,City,529.0,89.99,260.0,270.0
Emma's Art Café,Friends,378.0,32.99,112.0,166.0
Emmet's Dream House/Rescue Rocket!,THE LEGO MOVIE 2,706.0,69.99,260.0,197.0
Diamond Heist,City,400.0,59.99,160.0,191.0
AT-AP Walker,Star Wars,689.0,59.99,140.0,214.0
Pop-Up Book,Ideas,859.0,69.99,164.0,211.0
Snowspeeder  20th Anniversary Edition,Star Wars,309.0,39.99,116.0,159.0
Go Brick Me,BrickHeadz,708.0,29.99,84.0,160.0
Poe Dameron's X-wing Fighter,Star Wars,761.0,89.99,124.0,219.0
T. rex vs Dino-Mech Battle,Jurassic World,716.0,89.99,176.0,254.0
Hogwarts Clock Tower,Harry Potter,922.0,89.99,176.0,276.0
Mission to Mars,Classic,871.0,59.99,81.0,330.0
Avengers Tower Battle,Marvel,685.0,89.99,136.0,250.0
Mobile Bat Base,DC,743.0,89.99,140.0,275.0
Fiat 500,Creator Expert,960.0,89.99,144.0,269.0
Steamboat Willie,Ideas,751.0,89.99,176.0,202.0
Yoda,Star Wars,1771.0,99.99,224.0,235.0
Castle of the Forsaken Emperor,NINJAGO,1218.0,99.99,248.0,361.0
Deep Space Rocket and Launch Control,City,837.0,99.99,304.0,308.0
Downtown Fire Brigade,City,943.0,99.99,414.0,400.0
Thanos: Ultimate Battle,Marvel,674.0,69.99,116.0,190.0
Queen Watevra's So-Not-Evil' Space Palace,THE LEGO MOVIE 2,997.0,99.99,212.0,275.0
Stormbringer,NINJAGO,493.0,39.99,108.0,182.0
"Ariel, Aurora, and Tiana's Royal Celebration",Disney,282.0,39.99,108.0,131.0
Oni Titan,NINJAGO,522.0,49.99,96.0,183.0
Boba Fett,Star Wars,144.0,29.99,48.0,67.0
Cole's Earth Driller ,NINJAGO,587.0,49.99,132.0,216.0
World Animals,DUPLO,121.0,99.99,48.0,75.0
Statue of Liberty,Architecture,1685.0,119.99,184.0,146.0
Rapunzel's Tower,DUPLO,37.0,29.99,24.0,26.0
NASA Apollo 11 Lunar Lander,Creator Expert,1087.0,99.99,124.0,193.0
Harley-Davidson Fat Boy,Creator Expert,1023.0,99.99,156.0,300.0
Batcave Clayface Invasion,Batman,1038.0,99.99,168.0,333.0
The White House,Architecture,1483.0,99.99,188.0,180.0
Dom's Dodge Charger,Technic,1077.0,99.99,236.0,172.0
Passenger Airplane,City,669.0,99.99,273.0,288.0
Summer Fun Water Park,Friends,1001.0,99.99,316.0,394.0
Pirate Ship,Creator 3-in-1,1264.0,99.99,428.0,359.0
Range Trooper,Star Wars,101.0,24.99,48.0,51.0
Sweet Mayhem's Systar Starship!,THE LEGO MOVIE 2,502.0,69.99,100.0,188.0
Indominus rex vs. Ankylosaurus,Jurassic World,537.0,99.99,112.0,216.0
Crocodile Locomotive,Creator Expert,1271.0,99.99,132.0,212.0
Hogwarts Astronomy Tower,Harry Potter,971.0,99.99,172.0,310.0
Hogwarts Great Hall,Harry Potter,878.0,99.99,184.0,284.0
Gingerbread House,Creator Expert,1477.0,99.99,196.0,321.0
Rex's Rexplorer!,THE LEGO MOVIE 2,1187.0,119.99,208.0,299.0
Mobile Crane,Technic,1292.0,99.99,272.0,144.0
Mystery Castle,Hidden Side,1035.0,99.99,296.0,335.0
Police Station,City,743.0,99.99,345.0,298.0
Tuning Workshop,City,897.0,99.99,389.0,411.0
Ghost Train Express,Hidden Side,698.0,79.99,136.0,268.0
Defense of Crait,Star Wars,746.0,84.99,144.0,289.0
Imperial AT-Hauler,Star Wars,829.0,99.99,148.0,206.0
Arctic Supply Plane,City,707.0,79.99,132.0,239.0
Ninja Nightcrawler,NINJAGO,552.0,39.99,124.0,205.0
T. Rex Transport,Jurassic World,609.0,69.99,156.0,174.0
Empire State Building,Architecture,1767.0,129.99,140.0,128.0
Imperial Conveyex Transport,Star Wars,622.0,89.99,120.0,187.0
Land Bounty,NINJAGO,1178.0,129.99,252.0,400.0
Heartlake City Amusement Pier,Friends,1251.0,129.99,316.0,433.0
Speed Force Freeze Pursuit,DC,271.0,29.99,80.0,138.0
Avengers Helicarrier,Marvel,1244.0,119.99,220.0,355.0
Slave I - 20th Anniversary Edition,Star Wars,1007.0,119.99,164.0,293.0
Firstbourne,NINJAGO,882.0,69.99,172.0,337.0
Corvus Glaive Thresher Attack,Marvel,416.0,39.99,124.0,168.0
Heavy Duty Forklift,Technic,592.0,69.99,232.0,109.0
Porsche 911 RSR,Technic,1580.0,149.99,296.0,178.0
Cargo Train,DUPLO,105.0,119.99,64.0,68.0
Hovercraft,Technic,1020.0,89.99,349.0,139.0
App-Controlled Top Gear Rally Car,Powered UP,463.0,129.99,120.0,93.0
Kylo Ren's Shuttle,Star Wars,1005.0,129.99,184.0,271.0
Darth Vader's Castle,Star Wars,1060.0,129.99,188.0,285.0
Ferrari Ultimate Garage,Speed Champions,841.0,99.99,200.0,309.0
Newbury Haunted High School,Hidden Side,1474.0,129.99,308.0,482.0
Porg,Star Wars,811.0,69.99,144.0,189.0
Tracked Loader,Technic,827.0,79.99,140.0,128.0
Passenger Train,City,677.0,159.99,230.0,165.0
Rocket Assembly &Transport,City,1055.0,149.99,340.0,364.0
Carnotaurus Gyrosphere Escape,Jurassic World,577.0,79.99,140.0,226.0
Sleeping Beauty's Fairytale Castle,Disney,322.0,39.99,84.0,171.0
App-Controlled Batmobile,DC,321.0,99.99,108.0,114.0
The Skeleton Attack,Minecraft,457.0,39.99,100.0,136.0
Mia's Camper Van,Friends,488.0,54.99,116.0,222.0
Mountain Police Headquarters,City,663.0,89.99,272.0,324.0
Droid Gunship,Star Wars,389.0,49.99,84.0,150.0
Ford Mustang,Creator Expert,1471.0,149.99,212.0,358.0
Ocean Exploration Ship,City,745.0,149.99,229.0,314.0
The Bat-Space Shuttle,DC,643.0,79.99,124.0,239.0
Ship in a Bottle,Ideas,962.0,69.99,156.0,124.0
Arctic Mobile Exploration Base,City,786.0,119.99,236.0,255.0
Forest Harvester,Technic,1003.0,149.99,388.0,157.0
Cinderella's Dream Castle,Disney,585.0,69.99,132.0,218.0
Millennium Falcon,Star Wars,1353.0,159.99,268.0,352.0
Killow vs. Samurai X,NINJAGO,556.0,49.99,128.0,220.0
Heartlake City Pet Centre,Friends,474.0,59.99,108.0,234.0
Rally Car,Technic,1005.0,109.99,364.0,152.0
The Bedrock Adventures,Minecraft,644.0,89.99,108.0,168.0
X-wing Starfighter,Star Wars,730.0,79.99,120.0,224.0
Compact Crawler Crane,Technic,920.0,99.99,344.0,102.0
Pirate Roller Coaster,Creator 3-in-1,923.0,89.99,324.0,277.0
Imperial Landing Craft,Star Wars,636.0,89.99,108.0,191.0
Volvo Concept Wheel Loader ZEUX,Technic,1167.0,139.99,504.0,143.0
Land Rover Defender,Technic,2573.0,199.99,496.0,262.0
Car Transporter,Technic,2493.0,179.99,961.0,190.0
Bookshop,Creator Expert,2504.0,179.99,216.0,561.0
Cargo Train,City,1227.0,229.99,362.0,410.0
Friendship House,Friends,722.0,69.99,164.0,309.0
Vestas Wind Turbine,Creator Expert,826.0,199.99,148.0,230.0
The Hulkbuster: Ultron Edition,Marvel,1363.0,119.99,184.0,268.0
Dragon Pit,NINJAGO,1660.0,129.99,244.0,424.0
Sanctum Sanctorum Showdown,Marvel,1004.0,99.99,220.0,312.0
Droid Commander,Star Wars,1177.0,199.99,25.0,343.0
The Farm Cottage ,Minecraft,549.0,49.99,116.0,157.0
The Upside Down,Stranger Things,2287.0,199.99,300.0,533.0
Corner Garage,Creator Expert,2569.0,199.99,236.0,564.0
Tantive IV,Star Wars,1768.0,199.99,260.0,387.0
A-wing Starfighter,Star Wars,1673.0,199.99,272.0,355.0
Pirates of Barracuda Bay,Ideas,2545.0,199.99,460.0,575.0
Imperial TIE Fighter,Star Wars,519.0,69.99,76.0,129.0
Indoraptor Rampage at Lockwood Estate,Jurassic World,1019.0,129.99,176.0,257.0
City Hospital,City,861.0,99.99,329.0,362.0
Dieselnaut,NINJAGO,1179.0,109.99,156.0,308.0
Sandcrawler,Star Wars,1239.0,139.99,188.0,277.0
4x4 X-Treme Off-Roader,Powered UP,958.0,249.99,224.0,131.0
The Rexcelsior!,THE LEGO MOVIE 2,1826.0,149.99,276.0,377.0
Heartlake City Resort,Friends,1017.0,99.99,208.0,326.0
AT-AT,Star Wars,1267.0,159.99,188.0,285.0
Mining Experts Site,City,883.0,99.99,244.0,284.0
Capital City,City,1211.0,149.99,441.0,489.0
6x6 Volvo Articulated Hauler,Technic,2193.0,249.99,456.0,234.0
Downtown Diner,Creator Expert,2480.0,169.99,200.0,508.0
Kessel Run Millennium Falcon,Star Wars,1414.0,169.99,208.0,318.0
Temple of Resurrection,NINJAGO,765.0,69.99,144.0,297.0
Rough Terrain Crane,Technic,4057.0,299.99,1527.0,262.0
Old Trafford - Manchester United,Creator Expert,3898.0,299.99,368.0,332.0
Farm Adventures,DUPLO,104.0,59.99,40.0,42.0
Mack Anthem,Technic,2595.0,179.99,897.0,253.0
Bugatti Chiron,Technic,3599.0,349.99,633.0,306.0
Roller Coaster,Creator Expert,4124.0,379.99,440.0,556.0
Voltron,Ideas,2321.0,179.99,92.0,471.0
Hogwarts Castle,Harry Potter,6020.0,399.99,636.0,624.0
NINJAGO City Docks,NINJAGO,3553.0,229.99,380.0,690.0
Liebherr R 9800,Powered UP,4108.0,449.99,740.0,221.0
Betrayal at Cloud City,Star Wars,2812.0,349.99,388.0,676.0
Imperial Star Destroyer,Star Wars,4784.0,699.99,444.0,445.0
Battle of Endor,Star Wars,197.0,14.99,1.0,40.0
Mini Frame,DOTS,85.0,4.99,2.0,13.0
Creative Picture Frames,DOTS,398.0,19.99,2.0,31.0
Monkie Kid's Delivery Bike,Monkie Kid,22.0,4.99,3.0,18.0
Road Worker,City,58.0,3.99,3.0,33.0
Police Water Plane,City,48.0,3.99,3.0,36.0
Arctic Ice Saw,City,43.0,3.99,3.0,34.0
Space Satellite,City,36.0,3.99,3.0,24.0
Beach Buggy,City,45.0,4.99,3.0,29.0
Baby Velociraptor Playpen,Jurassic World,48.0,3.99,3.0,25.0
Olivia's Remote Control Boat,Friends,25.0,3.99,3.0,23.0
Unikitty Roller Coaster Wagon,Unikitty,46.0,3.99,3.0,28.0
Chocolate Box & Flower,Friends,75.0,4.99,3.0,32.0
Royal Talon Fighter,Marvel,59.0,3.99,3.0,25.0
Rex's Plantimal Ambush,THE LEGO MOVIE 2,32.0,3.99,3.0,23.0
The Guardians' Ship,Marvel,69.0,3.99,3.0,36.0
Poppy's Carriage,Trolls World Tour,51.0,4.99,3.0,30.0
DJ,Star Wars,22.0,4.99,3.0,15.0
Traffic Lights,Xtra,46.0,3.99,3.0,17.0
Streetlamps,Xtra,34.0,3.99,3.0,24.0
Ninjago Minifigure Pack,NINJAGO,59.0,12.99,3.0,33.0
Spider-Man and the Museum Break-In,Marvel,49.0,14.99,3.0,33.0
Summer Celebration Minifigure Pack,Minifigures,45.0,12.99,3.0,35.0
Police MF Accessory Set,Minifigures,42.0,12.99,3.0,33.0
Fairground Accessory Set,Minifigures,51.0,12.99,3.0,35.0
Sports Accessories,Xtra,36.0,3.99,3.0,20.0
Botanical Accessories,Xtra,32.0,3.99,3.0,17.0
Falcon & Black Widow Team-Up,Marvel,60.0,14.99,3.0,34.0
Spinjitzu Burst - Cole,NINJAGO,48.0,9.99,3.0,31.0
Spinjitzu Burst Lloyd,NINJAGO,48.0,9.99,3.0,30.0
Golden Zane Accessory Set ,NINJAGO,73.0,12.99,5.0,31.0
Stephanie's Play Cube - Beauty Salon,Friends,44.0,9.99,5.0,35.0
Andrea's Jungle Play Cube,Friends,47.0,9.99,5.0,43.0
Stephanie's Jungle Play Cube,Friends,41.0,9.99,5.0,38.0
Olivia's Jungle Play Cube,Friends,51.0,9.99,5.0,42.0
Mia's Jungle Play Cube,Friends,43.0,9.99,5.0,36.0
Obi-Wan Kenobi - Collectable Minifigure,Star Wars,12.0,3.99,6.0,10.0
My First Dinosaur,DUPLO,7.0,3.49,7.0,6.0
Hogwarts Students Accessory Set,Harry Potter,53.0,14.99,9.0,33.0
My First Balancing Animals,DUPLO,15.0,14.99,9.0,14.0
Bulldozer,DUPLO,10.0,9.99,12.0,10.0
Creative Fun,DUPLO,120.0,39.99,13.0,70.0
Truck & Tracked Excavator,DUPLO,20.0,19.99,16.0,19.0
Batcave,Batman,33.0,29.99,20.0,25.0
Ariel's Undersea Castle,Disney,35.0,29.99,20.0,27.0
Creative Animals,DUPLO,175.0,59.99,20.0,89.0
Cute Pug,Creator 3-in-1,68.0,3.99,28.0,32.0
Wrecking Ball Demolition,DUPLO,56.0,59.99,32.0,41.0
Thanksgiving Turkey,BrickHeadz,114.0,9.99,32.0,48.0
Lightning McQueen's Race Day,Disney,42.0,29.99,36.0,32.0
Donald Duck,Disney,90.0,9.99,36.0,42.0
Emma's Pet Party,Friends,67.0,9.99,36.0,50.0
Wonder Woman,BrickHeadz,143.0,9.99,40.0,54.0
Easter Chick,BrickHeadz,120.0,9.99,44.0,50.0
Olaf's Traveling Sleigh,Disney,97.0,12.99,44.0,52.0
Valentine's Bear,BrickHeadz,150.0,9.99,44.0,65.0
Lucky Cat,BrickHeadz,134.0,9.99,44.0,71.0
Birthday Clown,BrickHeadz,150.0,9.99,48.0,77.0
Valentine's Puppy,BrickHeadz,147.0,9.99,48.0,60.0
Dragon Dance Guy,BrickHeadz,170.0,9.99,48.0,72.0
Lady Liberty,BrickHeadz,153.0,9.99,48.0,43.0
Easter Sheep,BrickHeadz,192.0,9.99,48.0,57.0
